25389528,José Hernández,15092024,16092024,1
18459124,María Hernández,15022020,12022029,2
24999299,Carlos Gutiérrez,08122022,08122024,4
88824994,Raúl Papirulo,19092025,20092090,5
41894891,Karina Salazar,25052021,25012022,3
24898925,Pablo Sarasa,25092023,30092023,1
48914982,Fabricio Prado,18082020,30082020,5
53295925,Marcelo Tinelli,13042026,10092026,5
48294929,Marcelo Polino,15042022,08122024,1
49199949,Ronaldo Nazario,19032023,24032023,5
48929499,Pepe Argento,19092020,29092021,5
19400200,Moria Casán,18052029,20052029,1
24999944,Gómez Centurión,19042023,29042023,2
28498248,Claudia Gómez,18092055,19092055,2
14891892,Quentin Tarantino,25112027,05122027,1
48293484,Paulina Cocina,19022015,29042015,2
24982499,Ricardo Darín,06032028,09032028,1
42849299,Angel DiMaria,17092042,19092042,1
24929499,Benardino Rivadavia,12012030,15012030,1
59939995,Hernán Drago,18042025,25042025,3
29942999,Barry Allen,03092016,04092016,3
24924999,Don Saturnino,05102010,04112011,4
56929999,Gerónimo Benavidez,06092025,10102025,1
19992999,Franco Pisso,02012020,02032020,1
24999999,Zac Efron,08102021,09102021,2
58399592,Alfredo Coto,23112024,29112024,1
42894999,Adam Sandler,17012020,04092025,1
48199922,Tony Stark,09022090,09022091,1
12914911,Gordon Ramsey,08082028,09092029,3
24899211,Pachu Peña,10092020,10112020,1
